DATAEVENT	MODEL	GLogger
DATAEVENT	VERSION	2.2.38
DATAEVENT	NAME	smart3-01136
DATAEVENT	SN	smart3-01136
DATAEVENT	GPS	GPS 18x-LVC software ver. 4.50
DATADIAGH	NO_GPS	NO_SONIC	NO_METHANE	GPS_LOC_INVALID	SONIC_FAIL	METHANE_FAIL	NOOP100	GPS_NO_DGPS	SONIC_WARN	METHANE_WARN	NOOP10	NOOP8	NOOP4	NOOP2	NOOP1
DATAGPSH	SECONDS	NANOSECONDS	DIAG	LAT	LONG	ELEV	NUMSAT	HORIZDILUTION	GEOIDALHEIGHT	VELOCITY	DIRECTION	CHK
DATASONICH	SECONDS	NANOSECONDS	DIAG	U	V	W	SOS	TEMP	AIN1	AIN2	AIN3	AIN4	CHK
DATADAQMH	SECONDS	NANOSECONDS	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SWC_1_1_1	TS_1_1_1	SWC_2_1_1	TS_2_1_1	SWC_3_1_1	TS_3_1_1	SWC_4_1_1	TS_4_1_1	SWC_5_1_1	TS_5_1_1	SWC_6_1_1	TS_6_1_1	TC_1_1_1	TSENSOR_1_1_1	SHFSENS_1_1_1	SHF_1_1_1	SHFSENS_2_1_1	SHF_2_1_1	SHFSENS_3_1_1	SHF_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	TCNR4_C_1_1_1	RN_1_1_1	ALB_1_1_1	TA_1_1_1	RH_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	DAQM_V_1_1_1	DAQM_T_1_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	CHK
DATADAQMU	seconds	nanoseconds	AMP	AMP	AMP	m+3m-3	C	m+3m-3	C	m+3m-3	C	m+3m-3	C	m+3m-3	C	m+3m-3	C	C	C	NONE	W+1m-2	NONE	W+1m-2	NONE	W+1m-2	W+1m-2	W+1m-2	W+1m-2	W+1m-2	C	W+1m-2	dimensionless	C	%	umol+1m-2s-1	mm	V	C	C	C	C	Other	V	V	CHK
DATASONIC	1783883576	897040652	0	1.259	3.2	0.387	350.525	32.6	0	0	0	0	169
DATASONIC	1783883576	947020209	0	1.253	3.368	0.061	350.547	32.64	0	0	0	0	055
DATASONIC	1783883576	996988142	0	0.448	2.756	0.447	350.553	32.65	0	0	0	0	089
DATASONIC	1783883577	46958199	0	0.864	2.519	0.372	350.473	32.51	0	0	0	0	029
DATASONIC	1783883577	96876425	0	1.734	2.192	1.283	350.404	32.39	0	0	0	0	021
DATASONIC	1783883577	146881189	0	1.632	2.445	1.272	350.456	32.48	0	0	0	0	071
DATASONIC	1783883577	196797581	0	1.762	2.326	0.852	350.513	32.58	0	0	0	0	078
DATASONIC	1783883577	246793429	0	1.6	2.401	0.6	350.513	32.58	0	0	0	0	111
DATASONIC	1783883577	296738321	0	1.441	2.433	0.5	350.473	32.51	0	0	0	0	207
DATAGPS	1783883577	0	0	42.68326	-109.543758333	2178.8	8	1	-12.6	0	173.2	020
DATASONIC	1783883577	346688045	0	1.271	2.455	0.454	350.507	32.57	0	0	0	0	067
DATASONIC	1783883577	396634062	0	1.674	1.595	0.753	350.473	32.51	0	0	0	0	071
DATASONIC	1783883577	446623493	0	0.543	2.676	0.669	350.553	32.65	0	0	0	0	078
DATASONIC	1783883577	496573676	0	1.45	3.042	0.056	350.496	32.55	0	0	0	0	023
DATASONIC	1783883577	546513985	0	0.12	3.404	0.641	350.484	32.53	0	0	0	0	006
DATASONIC	1783883577	596442793	0	0.488	2.475	0.89	350.547	32.64	0	0	0	0	041
DATASONIC	1783883577	646430350	0	1.159	2.408	0.592	350.467	32.5	0	0	0	0	010
DATASONIC	1783883577	696355492	0	0.66	2.262	0.783	350.536	32.62	0	0	0	0	024
DATASONIC	1783883577	746347299	0	0.247	1.705	1.218	350.496	32.55	0	0	0	0	077
DATASONIC	1783883577	796271024	0	0.982	2.095	1.054	350.375	32.34	0	0	0	0	064
DATASONIC	1783883577	846244290	0	0.923	2.697	0.952	350.416	32.41	0	0	0	0	068
DATASONIC	1783883577	896190348	0	1.289	2.501	0.807	350.507	32.57	0	0	0	0	074
DATASONIC	1783883577	946182279	0	1.012	3.15	0.991	350.484	32.53	0	0	0	0	015
DATASONIC	1783883577	996111213	0	1.188	2.999	0.917	350.547	32.64	0	0	0	0	082
DATASONIC	1783883578	46100936	0	0.957	2.769	0.784	350.496	32.55	0	0	0	0	034
DATASONIC	1783883578	96051244	0	0.687	2.529	0.396	350.393	32.37	0	0	0	0	025
DATASONIC	1783883578	145997719	0	-0.115	2.658	0.741	350.393	32.37	0	0	0	0	122
DATASONIC	1783883578	195973151	0	0.511	2.346	0.752	350.473	32.51	0	0	0	0	057
DATADAQM	1783883580	0	-1.03343e-05	-1.14513e-05	-1.26213e-05	0.196	24.7	0.24	26.2	0.276	24.3	0.102	17.8	0.024	16.9	0.03	17.5	27.4964	32.9711	6.795e-05	66.1931	6.90085e-05	58.129	6.4265e-05	135.732	1004.26	151.374	349.044	529.899	35.3595	672.034	0.150731	30.9269	14.3898	1975.11	0	12.2512	42.5859	23.3265	22.9135	22.6301	15	0.023976	28.1786	228
DATASONIC	1783883578	245914251	0	1.024	2.712	0.986	350.484	32.53	0	0	0	0	059
DATASONIC	1783883578	295884141	0	1.113	2.717	0.695	350.484	32.53	0	0	0	0	069
DATAGPS	1783883578	0	0	42.68326	-109.543758333	2178.8	8	1	-12.6	0	173.2	021
DATASONIC	1783883578	345859073	0	1.074	2.506	0.608	350.507	32.57	0	0	0	0	067
DATASONIC	1783883578	395806256	0	1.301	2.53	0.611	350.536	32.62	0	0	0	0	001
DATASONIC	1783883578	445781562	0	0.945	2.546	0.641	350.525	32.6	0	0	0	0	018
DATASONIC	1783883578	495721536	0	1.027	2.695	0.87	350.553	32.65	0	0	0	0	025
DATASONIC	1783883578	545698050	0	1.238	2.482	0.977	350.525	32.6	0	0	0	0	025
DATASONIC	1783883578	595655649	0	1.03	2.445	1.166	350.467	32.5	0	0	0	0	229
DATASONIC	1783883578	645616247	0	1.042	1.961	1.607	350.444	32.46	0	0	0	0	061
DATASONIC	1783883578	695582803	0	0.974	2.41	1.269	350.507	32.57	0	0	0	0	027
DATASONIC	1783883578	745549067	0	0.863	2.298	1.317	350.582	32.7	0	0	0	0	031
DATASONIC	1783883578	795499249	0	0.638	2.528	1.534	350.484	32.53	0	0	0	0	089
DATASONIC	1783883578	845456972	0	-0.072	1.777	1.112	350.547	32.64	0	0	0	0	117
DATASONIC	1783883578	895393446	0	0.743	2.392	1.165	350.433	32.44	0	0	0	0	072
DATASONIC	1783883578	945368586	0	0.367	2.192	1.333	350.507	32.57	0	0	0	0	078
DATASONIC	1783883578	995357891	0	-0.216	2.361	0.975	350.582	32.7	0	0	0	0	077
DATASONIC	1783883579	45293323	0	-0.721	2.808	0.549	350.662	32.84	0	0	0	0	061
DATASONIC	1783883579	95227881	0	-0.432	2.446	0.824	350.645	32.81	0	0	0	0	063
DATASONIC	1783883579	145224936	0	-0.705	2.894	0.485	350.674	32.86	0	0	0	0	125
DATASONIC	1783883579	195172784	0	-0.446	2.778	0.531	350.685	32.88	0	0	0	0	132
DATASONIC	1783883579	245135257	0	-0.823	2.927	0.576	350.702	32.91	0	0	0	0	110
DATASONIC	1783883579	295060232	0	-0.797	2.8	0.396	350.714	32.93	0	0	0	0	014
DATASONIC	1783883579	345036413	0	-0.725	2.759	0.216	350.662	32.84	0	0	0	0	107
DATAGPS	1783883579	0	0	42.68326	-109.543758333	2178.8	8	1	-12.6	0	173.2	022
DATASONIC	1783883579	395003302	0	-0.736	2.667	0.067	350.622	32.77	0	0	0	0	105
DATASONIC	1783883579	444970608	0	-0.73	2.548	0.218	350.714	32.93	0	0	0	0	064
DATASONIC	1783883579	494922373	0	-0.722	2.337	0.304	350.696	32.9	0	0	0	0	064
DATASONIC	1783883579	544888763	0	-0.552	2.399	0.322	350.645	32.81	0	0	0	0	125
DATASONIC	1783883579	594858361	0	-0.091	2.499	0.197	350.633	32.79	0	0	0	0	134
DATASONIC	1783883579	644837375	0	-0.311	1.805	0.683	350.662	32.84	0	0	0	0	115
DATASONIC	1783883579	694757266	0	-0.427	2.111	0.36	350.737	32.97	0	0	0	0	070
DATASONIC	1783883579	744751196	0	-0.415	2.302	0.698	350.742	32.98	0	0	0	0	120
