DATAEVENT	MODEL	GLogger
DATAEVENT	VERSION	2.2.38
DATAEVENT	NAME	smart3-01382
DATAEVENT	SN	smart3-01382
DATAEVENT	GPS	GPS 18x-LVC software ver. 4.40
DATADIAGH	NO_GPS	NO_SONIC	NO_METHANE	GPS_LOC_INVALID	SONIC_FAIL	METHANE_FAIL	NOOP100	GPS_NO_DGPS	SONIC_WARN	METHANE_WARN	NOOP10	NOOP8	NOOP4	NOOP2	NOOP1
DATAGPSH	SECONDS	NANOSECONDS	DIAG	LAT	LONG	ELEV	NUMSAT	HORIZDILUTION	GEOIDALHEIGHT	VELOCITY	DIRECTION	CHK
DATASONICH	SECONDS	NANOSECONDS	DIAG	U	V	W	SOS	TEMP	AIN1	AIN2	AIN3	AIN4	CHK
DATADAQMH	SECONDS	NANOSECONDS	THERMISTOR_1_1_1	Relay_1_1_1	Relay_2_1_1	Relay_3_1_1	SWC_1_1_1	TS_1_1_1	SWC_2_1_1	TS_2_1_1	SWC_3_1_1	TS_3_1_1	SWC_4_1_1	TS_4_1_1	SWC_5_1_1	TS_5_1_1	SWC_6_1_1	TS_6_1_1	TC_1_1_1	TSENSOR_1_1_1	SHFSENS_1_1_1	SHF_1_1_1	SHFSENS_2_1_1	SHF_2_1_1	SHFSENS_3_1_1	SHF_3_1_1	SWIN_1_1_1	SWOUT_1_1_1	LWIN_1_1_1	LWOUT_1_1_1	TCNR4_C_1_1_1	RN_1_1_1	ALB_1_1_1	TA_1_1_1	RH_1_1_1	PPFD_1_1_1	P_RAIN_1_1_1	TS_7_1_1	TS_8_1_1	TS_9_1_1	DAQM_V_1_1_1	DAQM_T_1_1_1	DRM_POWER_STATUS_1_1_1	DRM_V_BATTERY_1_1_1	DRM_V_MAIN_1_1_1	CHK
DATADAQMU	seconds	nanoseconds	OTHER	AMP	AMP	AMP	m+3m-3	C	m+3m-3	C	m+3m-3	C	m+3m-3	C	m+3m-3	C	m+3m-3	C	C	C	NONE	W+1m-2	NONE	W+1m-2	NONE	W+1m-2	W+1m-2	W+1m-2	W+1m-2	W+1m-2	C	W+1m-2	dimensionless	C	%	umol+1m-2s-1	mm	C	C	C	V	C	Other	V	V	CHK
DATASONIC	1784349797	703107788	0	1.632	-3.441	-0.111	347.201	26.83	0	0	0	0	142
DATASONIC	1784349797	753100310	0	1.868	-3.713	0.051	347.178	26.79	0	0	0	0	110
DATASONIC	1784349797	803045168	0	1.866	-3.907	-0.452	347.172	26.78	0	0	0	0	171
DATASONIC	1784349797	853044356	0	1.541	-3.789	-0.305	347.213	26.85	0	0	0	0	163
DATASONIC	1784349797	902964465	0	1.8	-3.597	-0.25	347.103	26.66	0	0	0	0	017
DATASONIC	1784349797	952960903	0	1.536	-3.335	-0.215	347.109	26.67	0	0	0	0	163
DATASONIC	1784349798	2903428	0	1.778	-3.71	0.128	347.138	26.72	0	0	0	0	222
DATASONIC	1784349798	52881117	0	1.568	-4.015	0.053	347.051	26.57	0	0	0	0	057
DATASONIC	1784349798	102831308	0	1.264	-3.957	0.167	347.132	26.71	0	0	0	0	107
DATASONIC	1784349798	152796539	0	1.147	-3.951	0.227	347.138	26.72	0	0	0	0	126
DATASONIC	1784349798	202734522	0	0.967	-3.395	0.268	347.178	26.79	0	0	0	0	133
DATASONIC	1784349798	252716295	0	1.121	-3.474	0.364	347.161	26.76	0	0	0	0	112
DATASONIC	1784349798	302651944	0	1.355	-3.459	0.471	347.213	26.85	0	0	0	0	116
DATASONIC	1784349798	352629592	0	1.148	-3.551	0.394	347.242	26.9	0	0	0	0	072
DATAGPS	1784349798	0	0	41.0437433333	-107.680095	1899.2	9	0.9	-14.5	0	0	015
DATASONIC	1784349798	402567199	0	1.359	-3.493	0.296	347.259	26.93	0	0	0	0	141
DATASONIC	1784349798	452549014	0	1.659	-3.538	-0.288	347.213	26.85	0	0	0	0	172
DATASONIC	1784349798	502474872	0	1.656	-3.53	-0.109	347.248	26.91	0	0	0	0	115
DATASONIC	1784349798	552439895	0	1.735	-3.236	-0.652	347.439	27.24	0	0	0	0	177
DATASONIC	1784349798	602405294	0	1.815	-3.444	-0.813	347.519	27.38	0	0	0	0	162
DATASONIC	1784349798	652356692	0	2.087	-3.346	-0.418	347.537	27.41	0	0	0	0	172
DATASONIC	1784349798	702319799	0	1.853	-3.312	-0.86	347.502	27.35	0	0	0	0	116
DATASONIC	1784349798	752301488	0	2.152	-3.188	-0.835	347.508	27.36	0	0	0	0	168
DATASONIC	1784349798	802219888	0	2.242	-3.151	-0.065	347.467	27.29	0	0	0	0	167
DATASONIC	1784349798	852243285	0	2.174	-3.494	-0.212	347.41	27.19	0	0	0	0	107
DATASONIC	1784349798	902172934	0	1.931	-3.155	-0.595	347.531	27.4	0	0	0	0	111
DATASONIC	1784349798	952159457	0	1.568	-3.368	-0.629	347.519	27.38	0	0	0	0	192
DATASONIC	1784349799	2129813	0	1.698	-3.533	-0.611	347.548	27.43	0	0	0	0	063
DATASONIC	1784349799	52081545	0	1.492	-3.696	-0.593	347.45	27.26	0	0	0	0	071
DATASONIC	1784349799	102042861	0	1.276	-3.492	-0.589	347.479	27.31	0	0	0	0	167
DATASONIC	1784349799	151993509	0	1.379	-3.484	-0.316	347.502	27.35	0	0	0	0	169
